user_reviews,user_rating,days_since_review,rating_diff,quote,review_length,total_token_count,popular
141,5,300,0.2999999999999998,False,973.0,159,1
155,2,691,-2.1799999999999997,False,259.0,49,0
38,5,2849,0.79,False,94.0,15,0
274,5,87,0.8600000000000003,True,3193.0,524,1
500,3,1421,-0.29000000000000004,False,1973.0,334,1
312,4,92,-0.07000000000000028,False,561.0,91,1
51,5,1113,1.02,False,1196.0,190,1
221,5,707,0.6699999999999999,False,21.0,3,0
167,4,172,-0.040000000000000036,False,639.0,114,0
194,5,1923,0.96,False,274.0,42,1
29,5,1013,1.17,False,414.0,75,0
438,5,1560,1.2200000000000002,False,1547.0,259,1
385,4,232,-0.33999999999999986,False,1992.0,343,1
468,4,860,0.2799999999999998,False,265.0,38,1
144,5,1299,1.0899999999999999,False,2569.0,453,0
1047,3,110,-1.46,False,825.0,129,0
1243,5,489,1.0299999999999998,True,5064.0,888,1
3,4,2623,0.0,False,68.0,13,0
265,5,1331,0.7999999999999998,True,729.0,136,1
34,3,3154,-0.4500000000000002,False,1822.0,319,1
419,4,401,0.08000000000000007,True,1046.0,155,1
84,5,1521,0.7999999999999998,True,286.0,48,0
14,5,191,0.6200000000000001,False,155.0,27,1
741,2,350,-1.5299999999999998,False,816.0,137,1
290,3,947,-0.7400000000000002,True,4874.0,761,0
175,5,1992,1.2000000000000002,True,3036.0,507,1
3,5,784,1.0699999999999998,False,349.0,62,0
131,3,1664,-1.1100000000000003,True,2871.0,485,1
231,3,1143,-0.8999999999999999,False,365.0,68,0
72,1,1297,-2.52,True,471.0,76,1
365,5,341,0.46999999999999975,True,2096.0,343,1
14,3,1067,-0.10999999999999988,False,791.0,133,1
13,5,188,0.79,False,159.0,23,0
36,4,1516,0.33000000000000007,True,2471.0,426,0
406,5,462,1.06,True,4427.0,743,1
159,4,1620,-0.1299999999999999,False,2105.0,357,0
219,4,69,-0.11000000000000032,False,1256.0,194,0
219,5,842,0.9699999999999998,False,1139.0,194,0
8,4,566,0.08999999999999986,False,293.0,50,0
168,5,2829,0.79,False,970.0,177,1
50,5,53,0.6500000000000004,False,618.0,102,0
57,5,1213,0.7300000000000004,False,429.0,78,0
40,3,89,-1.1500000000000004,True,160.0,24,1
585,4,19,0.20000000000000018,False,3357.0,570,1
94,3,1640,-0.7200000000000002,False,793.0,132,1
529,4,2535,0.020000000000000018,False,1882.0,311,0
34,2,299,-1.6600000000000001,False,151.0,26,0
60,5,2191,0.8700000000000001,False,68.0,10,0
160,4,895,-0.11000000000000032,False,922.0,160,0
17,3,420,-1.37,False,436.0,73,0
500,3,1155,-0.81,False,480.0,82,0
10,4,2540,-0.4299999999999997,False,3835.0,636,0
16,2,1066,-1.8199999999999998,False,360.0,59,0
42,5,1665,0.96,False,2039.0,340,0
4,4,89,-0.6699999999999999,False,477.0,72,1
127,4,390,0.020000000000000018,False,498.0,79,0
30,3,1051,-1.04,False,106.0,19,1
556,3,294,-0.9100000000000001,True,2340.0,392,1
447,3,289,-1.1500000000000004,False,412.0,76,1
16,5,1226,0.6299999999999999,False,80.0,11,0
13,5,2727,1.04,True,937.0,153,0
3,3,1899,-0.71,False,114.0,20,0
332,4,1412,0.2200000000000002,True,2942.0,505,0
124,4,2879,-0.3200000000000003,False,532.0,93,0
329,4,542,-0.20999999999999996,True,620.0,99,1
142,3,3086,-0.5699999999999998,True,112.0,20,0
3,1,3259,-2.97,False,37.0,7,0
579,4,1131,-0.07000000000000028,True,770.0,136,1
75,4,977,-0.009999999999999787,True,5362.0,981,0
129,4,3116,-0.33999999999999986,False,1819.0,317,0
169,5,219,0.6900000000000004,False,42.0,7,1
56,3,129,-1.0099999999999998,True,1612.0,273,1
72,5,52,1.1800000000000002,False,2495.0,396,1
194,5,373,1.12,False,919.0,146,1
1017,4,178,-0.3700000000000001,False,1297.0,226,1
180,4,1977,0.10999999999999988,False,2493.0,436,1
1024,3,416,-0.41999999999999993,True,1369.0,244,1
40,5,1030,1.0699999999999998,False,38.0,10,0
257,5,840,0.8300000000000001,False,1100.0,192,0
822,5,725,0.9000000000000004,False,875.0,134,0
278,5,1771,0.7999999999999998,False,37.0,7,0
31,4,2476,-0.08000000000000007,False,358.0,57,0
26,5,1070,1.1099999999999999,False,119.0,22,0
55,4,599,-0.2699999999999996,False,627.0,108,1
17,4,1951,0.5800000000000001,False,171.0,30,0
10,4,2138,0.20000000000000018,True,2268.0,389,1
800,4,1721,-0.05999999999999961,True,2055.0,338,1
652,5,1815,1.08,False,796.0,135,1
577,5,537,1.4500000000000002,False,156.0,26,0
128,4,816,-0.45999999999999996,False,472.0,80,0
58,3,1336,-0.9100000000000001,True,3393.0,580,0
170,4,2025,-0.20999999999999996,True,2469.0,431,1
468,1,133,-1.21,True,877.0,157,1
18,0,1517,-4.2,False,663.0,82,1
906,5,1730,0.6699999999999999,True,3853.0,662,1
936,5,590,1.1,False,1177.0,202,0
85,3,717,-0.94,True,607.0,104,0
946,5,1843,1.85,False,2065.0,355,0
1501,3,1392,-0.69,False,1360.0,230,1
719,4,699,-0.040000000000000036,False,2474.0,444,1
1173,2,1216,-1.7599999999999998,True,1043.0,183,1
696,4,1288,-0.09999999999999964,False,3740.0,664,1
19,5,57,1.1800000000000002,False,1162.0,185,1
189,5,818,0.6299999999999999,False,14.0,3,0
35,4,2457,-0.04999999999999982,False,887.0,146,1
1039,5,458,1.0299999999999998,False,223.0,41,1
302,5,836,0.5999999999999996,False,575.0,96,1
258,5,158,0.29000000000000004,True,995.0,175,1
483,5,1206,0.5800000000000001,True,2106.0,357,0
39,4,3408,0.10000000000000009,False,508.0,86,1
132,4,509,-0.08000000000000007,False,157.0,25,1
422,5,2054,0.7999999999999998,True,2920.0,495,1
12,5,517,0.7300000000000004,False,37.0,7,0
963,4,2093,0.08000000000000007,True,2845.0,466,1
59,0,2461,-3.52,False,76.0,12,0
1208,5,2055,1.2200000000000002,True,1888.0,322,0
1172,3,860,-0.8199999999999998,True,1754.0,285,1
473,5,2282,0.9900000000000002,True,3841.0,655,1
65,5,324,1.0499999999999998,True,816.0,145,1
25,3,764,-0.6699999999999999,False,841.0,151,0
19,5,551,0.6600000000000001,False,12.0,1,1
979,3,743,-0.7599999999999998,True,3112.0,523,1
6,5,1779,1.08,False,192.0,35,0
161,5,1114,0.7000000000000002,True,3762.0,653,1
1008,4,29,0.1200000000000001,False,2479.0,465,0
94,4,248,-0.5700000000000003,False,437.0,80,0
21,1,1446,-2.49,False,725.0,128,1
207,4,1907,-0.05999999999999961,False,26.0,6,0
54,4,1352,0.2599999999999998,False,1028.0,183,0
56,4,1721,0.040000000000000036,False,1218.0,195,0
422,5,370,0.9100000000000001,False,132.0,22,0
52,5,2513,0.6100000000000003,False,1117.0,184,0
224,4,622,-0.13999999999999968,False,1145.0,179,1
469,4,1845,0.009999999999999787,False,868.0,155,1
26,5,1315,0.6600000000000001,False,130.0,25,0
12,3,1726,-0.7200000000000002,False,614.0,106,0
84,2,659,-1.9700000000000002,True,2802.0,476,0
293,3,113,-0.7799999999999998,False,162.0,29,0
50,5,786,1.2599999999999998,False,400.0,58,1
557,4,131,-0.3200000000000003,False,269.0,44,1
67,5,3081,1.4300000000000002,False,33.0,5,0
74,4,1716,-0.1200000000000001,False,904.0,162,0
3,4,783,0.040000000000000036,False,66.0,13,0
290,4,592,0.06000000000000005,False,1716.0,297,0
104,4,1118,-0.09999999999999964,True,2984.0,496,0
272,4,1872,-0.04999999999999982,False,5997.0,1051,0
51,5,430,0.9800000000000004,False,934.0,166,0
127,5,392,1.4,False,1968.0,335,0
234,5,836,1.2599999999999998,False,304.0,54,0
20,5,1340,1.0099999999999998,False,850.0,135,0
790,2,462,-2.0700000000000003,False,2282.0,379,1
6,5,2711,0.7199999999999998,False,38.0,9,0
1,5,1418,0.5700000000000003,True,2000.0,331,0
14,5,2388,0.7400000000000002,True,1900.0,318,0
74,5,638,0.3600000000000003,False,71.0,10,1
63,5,149,0.8499999999999996,False,500.0,85,1
59,2,544,-2.71,False,3393.0,587,0
40,5,1158,1.7200000000000002,False,2573.0,437,0
200,4,1610,0.18999999999999995,True,1629.0,266,0
1029,5,1141,0.54,True,2623.0,464,1
881,4,581,0.16000000000000014,True,7828.0,1326,1
274,1,2558,-2.51,False,57.0,7,0
2501,5,860,1.08,True,2363.0,418,1
164,4,151,0.020000000000000018,True,1103.0,192,1
197,5,488,1.0,False,669.0,111,1
430,4,1363,0.009999999999999787,False,2050.0,361,0
4,3,2059,-0.7000000000000002,False,3749.0,634,1
804,5,254,1.0299999999999998,True,1899.0,319,1
1,5,625,0.7999999999999998,False,410.0,63,0
178,5,487,0.5300000000000002,True,2443.0,416,1
195,3,867,-1.0700000000000003,False,9.0,1,0
313,4,516,0.3900000000000001,False,2668.0,455,1
316,3,740,-0.94,False,390.0,65,0
4,5,794,0.9900000000000002,False,24.0,3,0
1245,5,1020,1.37,False,366.0,64,1
368,4,2630,-0.2999999999999998,False,3180.0,533,0
57,5,1007,0.9299999999999997,False,483.0,77,0
17,5,1582,0.6399999999999997,False,1683.0,287,0
916,5,2688,1.4900000000000002,True,3426.0,575,1
364,5,338,0.7599999999999998,False,882.0,147,1
282,3,1612,-1.1900000000000004,False,816.0,148,0
272,3,688,-0.9199999999999999,False,6885.0,1181,0
539,1,97,-3.05,True,1612.0,269,1
214,5,1630,1.1,True,1903.0,324,1
7,5,1026,0.6600000000000001,False,86.0,12,0
11,3,974,-0.9199999999999999,False,47.0,9,0
191,5,1862,0.8899999999999997,False,2641.0,459,0
50,3,33,-0.8599999999999999,False,607.0,93,0
481,4,1586,0.5,False,2524.0,416,1
111,5,2530,0.5499999999999998,False,45.0,7,1
366,3,1107,-0.33999999999999986,True,3383.0,591,1
144,4,1331,-0.1900000000000004,True,588.0,103,0
69,4,703,0.18000000000000016,True,369.0,63,0
212,0,1463,-3.84,False,61.0,9,0
71,4,1327,0.33000000000000007,False,6687.0,1120,1
1215,4,1648,0.1299999999999999,False,1778.0,307,1
452,4,646,0.1200000000000001,True,1487.0,242,1
287,5,495,0.7699999999999996,True,3717.0,607,0
60,5,226,0.3600000000000003,False,400.0,67,0
224,5,1019,0.9699999999999998,False,96.0,16,0
23,5,803,0.75,False,76.0,13,0
66,1,90,-2.29,False,647.0,100,1
123,5,2422,1.2000000000000002,True,2184.0,367,0
33,4,1486,0.08999999999999986,False,225.0,42,0
46,5,3134,1.08,False,787.0,133,0
475,0,408,-3.94,False,48.0,9,1
4,4,1239,0.3799999999999999,False,1073.0,177,0
50,5,1020,0.5300000000000002,False,660.0,112,0
3,5,664,0.6600000000000001,False,124.0,25,0
898,5,1643,0.9400000000000004,False,4275.0,766,1
51,3,1751,-0.94,False,302.0,52,0
66,4,91,0.10000000000000009,True,1681.0,308,1
180,5,1321,0.8700000000000001,False,62.0,11,0
114,4,365,-0.3899999999999997,True,1691.0,279,0
10,5,129,0.7800000000000002,False,538.0,96,0
236,1,254,-3.09,True,269.0,47,0
20,4,1760,-0.3099999999999996,False,345.0,56,0
59,0,2192,-4.41,False,41.0,8,1
291,1,1522,-2.74,False,102.0,19,0
3,5,2046,1.2000000000000002,False,2327.0,378,1
19,2,1663,-1.46,False,375.0,68,1
48,4,1494,0.06000000000000005,False,709.0,113,1
193,3,903,-1.0099999999999998,False,266.0,44,0
75,5,1627,1.2000000000000002,False,2056.0,354,0
614,5,716,0.9000000000000004,False,253.0,45,1
304,4,1100,0.18999999999999995,False,271.0,45,0
39,4,2795,-0.04999999999999982,False,56.0,9,0
